waveCount,TotalWidth,tiltAve,deepest,class
1.0,1257.493384,-1.736222575197089,0.98565965583174,hide
1.0,360.108699,0.0052841985607487985,0.7328170377541142,slash
1.0,359.046146,-0.031895916738193364,0.9748549323017408,slash
1.0,360.350261,-0.05690250553950893,0.9235976789168279,slash
1.0,360.728699,-0.029409363809853595,0.8354307841239109,slash
1.0,359.084895,-0.025065487091179506,0.9680851063829787,slash
1.0,541.46901,2.6879247876984267,0.9661508704061895,slash
1.0,538.717187,-3.0406367000540517,0.9700193423597679,slash
1.0,545.526511,-2.269400723451063,0.8288201160541586,slash
1.0,724.964635,0.024141900617633105,0.8323699421965318,slash
1.0,539.033854,2.8376663063826517,0.9681467181467182,slash
1.0,1436.394061,0.010123382180539764,0.9816247582205029,up
1.0,1796.764374,-1.6866377551716383E-5,0.9768563162970106,up
1.0,1436.142708,-0.7387044762596431,0.97678916827853,up
1.0,1259.985729,-0.4567739259943904,0.9729206963249516,up
1.0,1254.793801,-0.4701410489594873,0.97678916827853,up
1.0,1257.382345,-0.46014181084856287,0.9796905222437138,up
1.0,1255.177083,-0.464840635500382,0.9748549323017408,up
1.0,1076.032083,-1.3976073464827594,0.9758220502901354,up
1.0,897.51,-0.93818929299467,0.9796905222437138,up
1.0,1253.2125,0.45209910992233193,0.9690222652468539,up
1.0,1256.743697,-0.46841139155051925,0.9680851063829787,down
1.0,1076.866406,0.006807870504169644,0.9700193423597679,down
1.0,1075.93625,-0.013910546973635585,0.9700193423597679,down
1.0,897.003385,0.9330192317310677,0.9729206963249516,down
1.0,1257.353385,-0.4601115443400361,0.9680851063829787,down
1.0,1259.87026,0.47560545465996973,0.9758220502901354,down
1.0,1079.211771,-0.002568888040624051,0.971953578336557,down
1.0,1076.861822,1.4154286137449594,0.978702807357212,down
0.0,175.789792,NaN,0.0,down
1.0,1436.888749,-4.80901092285316,0.9729206963249516,down
2.5,1615.267551,0.28004161989478304,0.9593417231364957,roll
1.5,1619.045104,4.809718691999586,0.9479768786127167,roll
1.5,2166.564166,-4.793925972053243,0.9652509652509652,roll
3.0,2334.585156,-5.090632428967236,0.9594985535197685,roll
2.5,2152.465467,-4.494919725160856,0.8617021276595744,roll
2.0,1974.993176,0.18348272287224732,0.9556840077071291,roll
2.5,1976.92953,0.19154457046201656,0.9701348747591522,roll
2.5,1974.465571,-5.039128371079334,0.97678916827853,roll
2.5,1973.185311,5.106180160787958,0.970106075216972,roll
2.5,1982.289583,0.19377532801957786,0.9787849566055931,roll
1.0,1797.420676,0.4659692588154055,0.9864603481624759,hide
1.0,2157.431353,-0.0021183341124371147,0.9970986460348162,hide
1.0,2158.907657,-0.7174235018475924,0.9922779922779923,hide
1.0,2518.669529,0.23825865508927524,0.9913127413127413,hide
1.0,2339.133541,0.7834236252073041,0.9893822393822393,hide
1.0,2875.338435,0.17957566364738264,0.9912959381044487,hide
1.0,2696.413228,0.5666909919651377,0.9912959381044487,hide
1.0,2515.839686,0.5064158740123812,0.9922630560928434,hide
1.0,2335.022654,0.4277175188687793,0.9970958373668926,hide
1.0,2514.433019,0.23991366189946506,0.9980732177263969,hide

